Yorum,Puan,Tarih,Durum
güzel uygulama iş görüyor iyi yanı sala kazanı kullanmadığını zaman istedin zaman kulana biliyorsunuz,5,2025-06-18 20:25:32,1
güzel,5,2025-06-18 20:24:26,1
teşekkürler,5,2025-06-18 20:18:25,1
iyi,4,2025-06-18 20:17:57,1
süpersin,5,2025-06-18 20:17:26,1
,5,2025-06-18 20:07:24,1
diyecek bişey bulamıyorum süper,5,2025-06-18 20:03:47,1
güzel,5,2025-06-18 20:03:06,1
tumbara yok bende,5,2025-06-18 19:00:49,1
arkadaşlar uygulama kötü bayram yada özel günlerde falan hediye vermiyor yıl bir tek kurban bayramında verdi onun dışında bir yok güzel çekmiyor brawl stars ta kupa kasamıyorum salla kazan iyi değil aynı günlü gb youtube ben annemin telefonuna yapıyorum tablete bağlıyorum sonra tablette hat yok gb youtube bağlanılmıyor verdiği yüksek gb gün gb tavsiye etmem türk telekom iyi sil süpüründe kuzenimle açarız ben yarım kalp yaparım oda kalbi tamamlandı,1,2025-06-18 18:49:02,0
tşk,5,2025-06-18 18:21:16,1
rezalet rezalet ötesi uygulama defalarca denedim çalışmıyor sadece reklam var,1,2025-06-18 17:22:19,0
müşteri hizmeti harika,5,2025-06-18 16:33:46,1
cekici,5,2025-06-18 16:16:53,1
daim turkcell,5,2025-06-18 15:54:48,1
müşteri temsilcisine teşekkürler,5,2025-06-18 15:20:00,1
internet nede dakika dayanıyor,1,2025-06-18 14:36:40,0
abonesine karşı kadar saygısız bir şirket olamaz senedir derdimizi anlatıyoruz talep açıldıktan sonra hala aynı sms mesajı sorunu çözemeyceklerini bildiriyorlar ayıp denilen bir mefhum var yahu,1,2025-06-18 13:27:21,0
,5,2025-06-18 13:22:50,1
turkcell abonesi olarak fiyatlar uygun değil mağazadan uygun fiyata satanlar var,5,2025-06-18 13:22:20,1
türksel kullanıyorum evimde çekmiyo türksel sorunu hallet,1,2025-06-18 13:04:17,0
internet verse iyi olacak,4,2025-06-18 12:52:01,1
sizin internet olmaz olsun rezalet türkcell interneti çekmiyo uygulamada berbat türkcell berbat bişi kesinlikle türkcelli olmayın sakın kullanmayın boşa para israfı internetiniz var çekmiyo tam bir saçmalık,1,2025-06-18 12:15:58,0
kalan konusma ıcın ugrastım olmadıanlamadım,1,2025-06-18 10:56:49,0
kontratım bitiyor paketimi yenilemek istiyorum istediğim paketi alamıyorum sadece bana belirlenen paketler arasından seçmemi istiyorsunuz yapıyorsunuz bunu illa operatörümü değiştirelim bunu istiyorsunuz,5,2025-06-18 10:43:34,1
mükemmel,4,2025-06-18 10:25:23,1
dal güzel,5,2025-06-18 10:18:49,1
çekim kaliteniz neredeyse yok paketleriniz şisirilmis paketler kullanılmaya değecek bı operatör değilsiniz,1,2025-06-18 10:14:50,0
uygulama üzerinden işlem yapmaya çalışıyorum hiçbir işlem yapmadığım halde fazla işlem yaptınız diyor yüzden paket yapamıyorum,1,2025-06-18 10:08:26,0
güzel,5,2025-06-18 09:39:56,1
iyi,5,2025-06-18 09:05:32,1
fazla hediye internet verseydi iyi olurdu,2,2025-06-18 07:50:31,0
iyi,5,2025-06-18 07:34:56,1
ellerinize sağlık güzel olmuş,5,2025-06-17 23:09:03,1
güzel,5,2025-06-17 22:40:36,1
teşekkür ederim türksel,5,2025-06-17 22:30:30,1
güzel bir uygulama,5,2025-06-17 22:04:27,1
güzel kullanışlı bilgi verme açısından donanımlı bir uygulama,5,2025-06-17 21:57:11,1
iyi,5,2025-06-17 21:00:43,1
,5,2025-06-17 20:58:10,1
guzel,5,2025-06-17 20:56:11,1
super,5,2025-06-17 20:54:41,1
alah başımızdan eksik etmesin,5,2025-06-17 20:54:12,1
cok memnunum gayet başarılı uygulama,5,2025-06-17 20:45:35,1
yollardır kullanıyorum memnunum,5,2025-06-17 20:40:59,1
harika bir deneyim oldu benim,5,2025-06-17 20:35:58,1
tumbara olması müthiş bişey teşekkürler,5,2025-06-17 20:34:15,1
mükemmelsorunsuz olarak aradığımı kolayca bulabiliyorum,5,2025-06-17 20:28:26,1
kullanımı kolay memnunum,5,2025-06-17 20:27:46,1
tek kelimeyle harika,4,2025-06-17 20:26:32,1
,5,2025-06-17 20:26:31,1
güzel,5,2025-06-17 20:24:43,1
muthis,5,2025-06-17 20:24:04,1
iyi,5,2025-06-17 20:23:33,1
heryer den çekiyo mükemmel öneriyorum,5,2025-06-17 20:23:11,1
teşekkürler,5,2025-06-17 20:20:17,1
memnunum yeni gelen tumbara özelliği sevdim teşekkürler turkcell,5,2025-06-17 20:20:04,1
süper süper süper,5,2025-06-17 20:17:32,1
iyi,5,2025-06-17 20:17:06,1
güzel bir uygulama,5,2025-06-17 20:16:06,1
ihtiyaç ları iyi şekilde karşılayan operatör,5,2025-06-17 20:14:18,1
,5,2025-06-17 20:14:01,1
güzel,5,2025-06-17 20:13:03,1
turkcellle bağlan hayata,5,2025-06-17 20:05:37,1
bile hak etmiyor kaç haftadır sadece youtube instagram gb geliyor bi değişsin yaaa,1,2025-06-17 19:50:45,0
beş para etmez firma güneydoguda kötü internet iletişimi vat pişmanım tutkcelli olduğuma,1,2025-06-17 19:17:38,0
yaa bana hızlı şifreyi geç yolluyorsunuz lan sizin yüzünüzden türkcelle giremiyorum,1,2025-06-17 18:14:46,0
iyi,5,2025-06-17 16:38:03,1
türkcell güzel beğendim isteklerimize cevap veriyor herkese tavsiye ederim,5,2025-06-17 16:29:58,1
yükleyemedim güzel uygulama,5,2025-06-17 16:26:14,1
puan,5,2025-06-17 16:07:24,1
mükemmel,5,2025-06-17 14:51:14,1
memnun kaldım,5,2025-06-17 14:49:39,1
uygulamaya giremiyorum giremiyorum beni uygulanmadan atıyor,5,2025-06-17 11:29:29,1
uzun süredir uygulamadan paket yükleme yapılırken hata veriyor işlem iptal oluyorbir türlü paket yenilenmesi yapılamıyor,1,2025-06-17 11:16:47,0
uygulamanın hali böyle ana sayfada g reklamı dışında yok butonların üstünde kodda yazan kullanıcının görmemesi gereken metinler var bozmuşsunuz uygulamayı,1,2025-06-17 10:21:01,0
kullanım haklarım görünmüyor uygulama çalışmıyor şuan,1,2025-06-17 10:17:18,0
süper,5,2025-06-17 09:45:13,1
iyi yerde çekiyor vala,5,2025-06-17 08:57:51,1
,5,2025-06-17 08:48:16,1
son güncelleme birlikte kullanilamaz hale getirdiğiniz sizleri tebrik ediyorum,1,2025-06-17 07:07:15,0
paketler pahalı,1,2025-06-17 01:03:40,0
tumbarayı geliştirirsek yakın çevremizin numarasını verip vodafone türk telekom fark etmeden gb dk sms gönderme olursa herkes indirir internetiniz hakkını veriyor kaliteli,5,2025-06-16 21:50:34,1
çak iyi bir uygulama,5,2025-06-16 21:17:30,1
sorunlarımı hemen çözümlüyorlar,5,2025-06-16 21:00:08,1
iyi dehil faturaları hızlı kesiyolar palı gb ler,5,2025-06-16 20:59:41,1
süper bir uygulama,5,2025-06-16 20:59:16,1
süper,5,2025-06-16 20:56:25,1
bayılıyorum uygulamaya,5,2025-06-16 20:55:13,1
mükemmel,5,2025-06-16 20:51:11,1
telefonla iletişim bağlantı iyi internet bazen takıliyorbuna çözüm rica ediyorum,5,2025-06-16 20:48:30,1
pahalı olsun,5,2025-06-16 20:47:38,1
tumbara iyi olmuş fakat sosyal medya internetim tarifeme dahil olmasına rağmen puanlamaya dahil olmaz anlamıyorum,5,2025-06-16 20:47:05,1
süper,5,2025-06-16 20:43:25,1
öncelikle kullanışlı işlemler başka hiçbir müşteri hizmetleri aramaya iletişim merkezine gitmeye gerek kalmadan yapılabiliyor,5,2025-06-16 20:40:32,1
turkcell uygulamasını senedir kullanıyorum iyi memnunum turkcell çalışanlarının hepsine teşekkür ederim,5,2025-06-16 20:38:06,1
iyi,5,2025-06-16 20:33:59,1
ben yıldır turkcell liyim hiçbir sorun yaşamadım teşekkürler emeği geçenlere,5,2025-06-16 20:32:06,1
uygulama güzel çarşamba günü salla kazan var,5,2025-06-16 20:29:24,1
iyi herkese bakabiliyorum çooookniyyyyyi,5,2025-06-16 20:25:56,1
iyi pahalı,5,2025-06-16 20:22:18,1
iyi,5,2025-06-16 20:19:31,1
iyi çekiyo indirimler harika,5,2025-06-16 20:18:50,1
harika,5,2025-06-16 20:15:35,1
güncel iletişim isteklere yanıt vermekte kararlılık göstermesi memnun edici,5,2025-06-16 20:14:39,1
uygulama son yapılan tomvara super,5,2025-06-16 20:14:26,1
iyi gb verse,5,2025-06-16 20:11:55,1
şimdiye kadar vodafoneliydim iyikide turkcelle geçiş yapmışım internetim bitmiyor hemde uygun fiyatlı paketler var ben memnunum keşke önce geçiş yapsaymişim teşekkür ederim turkcell,5,2025-06-16 20:07:12,1
merhaba ben türkcell den gercekten memnunum vadafonedan geceli hafta oldu yaklaşık bağlanma sıkıntısı yaşamıyorum memnunum tavsiye ederim gayette uygun fiyatlı,5,2025-06-16 20:06:33,1
tşk ler,5,2025-06-16 20:06:06,1
güzel,5,2025-06-16 20:05:56,1
anlamda zirve,5,2025-06-16 20:05:48,1
başarılı uygulama,5,2025-06-16 20:05:21,1
tavsiye,5,2025-06-16 20:04:10,1
güzel,5,2025-06-16 18:31:46,1
dürbünle gaziantep tesekkurler,4,2025-06-16 18:29:10,1
paket yenilemeye gelince hat tasiyandan katına yakin fazla ücret nedir nasil ticaret anlayışıdır ilgili bakanlık fiyatların yüksekliğine birsey yapmıyor,1,2025-06-16 15:08:01,0
fiyatları yüksek,1,2025-06-16 14:56:50,0
ben uzun yıllardır türkselliyimher yıl paket yenilediğimde artış oluyorancak numara taşındığında türksel hemde diğer türk telekomvodafonfirmaları yenilenen paketin yarı fiatına düşüyorkendi müşterilerinize sahip çıkmıyorsunuzbu gidişle bende bir yıllığına diğer firmaya numara taşıyacağımbir yıl sonra tekrar türksele geçmeyi düşünüyorum,5,2025-06-16 13:51:22,1
hayatımda kadar kötü çeken internet görmedim bağlattirdiğimi güne lağnet olsun lira öderken ayda çekmeyen internete zam yapıp lira oduyoz direklerin dikileceği gün işleri yoktu adamlardan telefonu çıkardı yalandan kulağina götürdü tamam dedi telefon açık bile değildi adamlar yarım yamalak dikip kaçtılar direği ben sallayabiliyorum ufak bir rüzgarda internetimiz gidiyo karşı odadan cekmiyo oyunlarda modemin dibinde otursam bile bin ping asaği inmiyo vpn kullaniyom,1,2025-06-16 11:13:46,0
uygulamayı indiriyorum simge telefonumun ekranında gözükmüyor,1,2025-06-16 11:07:09,0
super,5,2025-06-16 09:18:38,1
internet paketi almak istedim parami aldi internet kullanim bulunmamaktadır diyor,1,2025-06-16 08:51:02,0
uygulama kötü çalışıyor paketler kötü resmen kazıklanıyoruz,1,2025-06-16 07:18:17,0
cocuk hatti ayarlarını yapmaya çalışıyorum asla düzgün çalışmıyor çocuğumun hattını bulamiyo biturlu sacma,1,2025-06-16 02:10:47,0
guzell,5,2025-06-16 01:32:37,1
merhaba turcell hesabıma giriş yapamyorum,5,2025-06-16 01:15:59,1
aşırı pahalı,1,2025-06-16 01:08:53,0
ben tumbarayı aktif etmek istedim fakat olmuyor güncelleme yazısı bende yok böyle geri dönüş yaparmısız,1,2025-06-15 23:53:59,0
iyi,5,2025-06-15 23:20:22,1
yeni kimlik okutun diyip duruyor kimlik yeni müşteri temsilcisine bağlanmıyor,1,2025-06-15 22:10:59,0
tek kelimeyle harika bir uygulama,5,2025-06-15 21:56:27,1
beğendim,5,2025-06-15 21:11:25,1
saall kazan kütü,1,2025-06-15 21:01:42,0
memnunum,5,2025-06-15 20:58:29,1
çekim iyi internet hızlı,5,2025-06-15 20:57:09,1
offf,5,2025-06-15 20:55:55,1
güzel,5,2025-06-15 20:55:21,1
iyi fikir teskkurler,5,2025-06-15 20:45:30,1
güzel,5,2025-06-15 20:44:53,1
güzel çekmememesi yerde çekiyor,5,2025-06-15 20:42:25,1
güzel interneti sahte hemen biityor gb yetmiyor günde bitiyor,5,2025-06-15 20:36:26,1
berbat herşey para üzerine kurulu pahalı kazık herşey,1,2025-06-15 20:19:00,0
işlemlerimi kolayca yapabiliyorum,5,2025-06-15 20:13:27,1
super,5,2025-06-15 20:12:38,1
iyi,5,2025-06-15 20:11:26,1
teşekkür ederim,5,2025-06-15 20:09:43,1
iyi memnunum,5,2025-06-15 20:08:07,1
kolay kulanimi,5,2025-06-15 20:04:26,1
hızlı iyi herkese tavsiyem turkcell li değilsenin turkcell operatöre taşının,5,2025-06-15 20:04:19,1
ek paket satmak verdiğiniz paketlerin hızlı bitmesini sağlıyorsunuz peketler size para ödüyoruz durum biraz devam ederse hesabını cimere verirsiniz,1,2025-06-15 19:57:17,0
teşekkürler turk ccel,5,2025-06-15 19:37:07,1
kalan dakikalarda gelecek aya aktarma olsun isterim,5,2025-06-15 19:33:34,1
kontur,5,2025-06-15 19:00:50,1
bakalım deneyelim,4,2025-06-15 18:54:38,1
turkcell zaman muşterıkrın dusunur,5,2025-06-15 17:04:40,1
taahhütten saat içinde vaz geçmek istedim yılı peşin olarak istediler cayma bedeli olarak ayrıca bulunduğum yerde şebeke çekmediği keşif istedim keşfe kimse gelmedi üstelik gelinmiş herkes olağan denildi yazık bunları denetleyen kimse yok,1,2025-06-15 16:32:00,0
salla kazanda allah güzel hediyeler koysanız keske,5,2025-06-15 15:59:32,1
hiçbir anlaşılmıyor,1,2025-06-15 15:40:43,0
guzel,5,2025-06-15 15:00:13,1
turkceli seviyorum,5,2025-06-15 12:13:00,1
ben yılında yana tükseliyim memnunum teşekkürler,5,2025-06-15 11:36:27,1
güzel cekiyo alt yapı iyi,5,2025-06-15 11:30:40,1
bir sorunu yok,5,2025-06-15 10:51:53,1
iyi bir uygulama,5,2025-06-15 07:47:46,1
güzel bir uygulama düşünülmüştebrikler teşekkürler,5,2025-06-14 23:16:10,1
internet hediye gönderin başkası degil,5,2025-06-14 22:51:25,1
almayın aldırmayın,1,2025-06-14 21:12:02,0
iyi,5,2025-06-14 21:08:59,1
turkcell emeği geçenlere teşekkürler,5,2025-06-14 20:58:20,1
yerde çekim var hızlı,5,2025-06-14 20:58:01,1
müthiş bi uygulama,5,2025-06-14 20:56:43,1
memnunum,5,2025-06-14 20:55:55,1
şebekesi avantajları tarifeleri güzel beyendim,5,2025-06-14 20:55:32,1
güzel uygulama,5,2025-06-14 20:51:20,1
tek kelimeyle mükemmel bir uygulama,5,2025-06-14 20:50:14,1
iyi,5,2025-06-14 20:48:54,1
mükemmel bir uygulama,5,2025-06-14 20:47:53,1
ben turkcelli seviyorum aşırı iyi keşke biraz fazla hediye internet verseniz,5,2025-06-14 20:46:10,1
iyi uygulamalardan internet deseniz zaten rakibi türk hava yolları,5,2025-06-14 20:45:11,1
iyi,5,2025-06-14 20:43:27,1
eskiden bir slogan vardı turkcell le bağlan hayata,5,2025-06-14 20:42:50,1
iyi herkese tavsiye ederim,5,2025-06-14 20:42:41,1
yi,5,2025-06-14 20:37:34,1
iyi güzel uygulama,5,2025-06-14 20:36:29,1
yıl oldu ben turkseliyim memnunumlbukadar yıl oldu avantaj larda yarlmuyoruz,5,2025-06-14 20:35:39,1
uygulamada oyunlar oynayarak internet kazanabileceği mız söyleniyor oynuyoruz fakat kazandığım internet gözükmüyor faturama ek para ekleniyor paramızı almaya çalışıyorlar,1,2025-06-14 20:30:06,0
muazzam,5,2025-06-14 20:29:04,1
güzel,5,2025-06-14 20:26:49,1
güzel,5,2025-06-14 20:26:42,1
harika konuda turkcell,5,2025-06-14 20:26:05,1
türk cell iyi,5,2025-06-14 20:25:33,1
yıllardır turkcell kullanmadığıma pişman oldum,5,2025-06-14 20:25:09,1
harika,5,2025-06-14 20:24:44,1
memnunum teşekkürler,5,2025-06-14 20:24:09,1
şebeke sorunu var bazen uygulama açılmıyor internet çekmiyor lütfen sorunu giderin,5,2025-06-14 20:21:33,1
harika bir uygulama,5,2025-06-14 20:20:48,1
tşkler,5,2025-06-14 20:20:47,1
süper,5,2025-06-14 20:15:49,1
mukemmel,5,2025-06-14 20:14:31,1
faydalı,5,2025-06-14 20:10:24,1
süper,5,2025-06-14 20:07:32,1
bana iyi sunumlar veriyo bana layık,5,2025-06-14 20:06:09,1
perfect,5,2025-06-14 20:04:34,1
güzel bence benimkiler boşa gidiyordu,5,2025-06-14 19:18:10,1
güzel beğendim,5,2025-06-14 18:03:06,1
,5,2025-06-14 16:09:21,1
faydalı güzel bir uygulama tumbarada ayrıca faydalı olmuş,5,2025-06-14 14:33:40,1
internetim çekmiyor memnun deylim diyer hatlar tukselden iyi bence bir yıldız bile fazla,1,2025-06-14 14:05:42,0
dolandırıcı turkcell,1,2025-06-14 12:24:28,0
mükemmel bir uygulama,5,2025-06-14 11:42:45,1
memnunım,4,2025-06-14 10:37:18,1
guzellllll,5,2025-06-14 08:49:33,1
faturam yüksek,1,2025-06-14 07:45:36,0
faturalarımı göremiyorum,1,2025-06-14 05:17:59,0
pahalı diyer hatlara göre,5,2025-06-14 04:55:23,1
güzel memnunum,5,2025-06-14 02:09:16,1
iyi,5,2025-06-14 01:43:05,1
ehh,5,2025-06-13 22:43:19,1
ay beleş internet veriyo beleşi severim,5,2025-06-13 21:02:41,1
güzel ben memnunum,5,2025-06-13 20:55:49,1
iyi,5,2025-06-13 20:48:56,1
turkcellle bağlan hayata,5,2025-06-13 20:42:47,1
iyi bir uygulama,5,2025-06-13 20:41:06,1
mükemmel,5,2025-06-13 20:38:35,1
konuda yardımcı oluyorlar,5,2025-06-13 20:38:26,1
merhaba gayet güzel teşekkürler,5,2025-06-13 20:38:22,1
turkcell den memnun kaldım,4,2025-06-13 20:35:40,1
mobil hattım ev internetim yıllardır turkcell turkcelli kullanmaktan memnunum bütün işlemlerimi daima müşteri hizmetleri birebir yapıyorum samimi içten tavırları çalışan ekibi tebrik ediyorum,5,2025-06-13 20:33:43,1
güzel allah razı olsun allah muradınız varsa versin,5,2025-06-13 20:30:19,1
kullanışlı uygulama iyi,5,2025-06-13 20:26:12,1
iyi,5,2025-06-13 20:23:39,1
süper,5,2025-06-13 20:21:36,1
beyendım,5,2025-06-13 20:21:12,1
iyi şebeke paketler mükemmel,5,2025-06-13 20:20:25,1
memnunum,5,2025-06-13 20:17:56,1
teşkúrler,5,2025-06-13 20:15:33,1
harika,5,2025-06-13 20:09:59,1
efsane,5,2025-06-13 20:09:03,1
turkcellin uygulamalarına erişebilececeğim bir uygulama kullanımı kolay rahat işlemlere hızlı bir şekilde ulaşabilirsiniz,5,2025-06-13 20:08:13,1
gerçek anlamıyla hizmette kalite üç aydır keyifle kesintisiz iletişim kuruyorum teşekkürler turkcell,5,2025-06-13 20:07:29,1
kesinlikle katılıyorum,5,2025-06-13 20:06:13,1
güzel uygulama biraz geç kalmış,5,2025-06-13 19:07:53,1
süper operatör tavsiye ederim,5,2025-06-13 18:53:40,1
güzel kullanışlı,5,2025-06-13 18:39:14,1
pahalı tarifeler hizmet veriliyor,5,2025-06-13 18:26:08,1
uygulama hata veriyor sorunu çözer misiniz,1,2025-06-13 17:23:10,0
çoooooook iyi güzel herkese öneririm,5,2025-06-13 17:16:54,1
güzel uyugulama,5,2025-06-13 16:13:42,1
superonline dan internetim vardı seneden fazla müşterileriydim bana faiş fiyat çıkardılar yetmiyormuş kota kablosunu iade istediler yurtiçi kargoyla gonderdikleri sms deki iade koduyla gönderdim msj i gördükten gün sonra kota kablo ücretini şahsıma yansıttılar müşteri hizmetlerini aradığımda farklı yerlere yönlendirip duruyorlar tam bir skandal sınız turkcell,1,2025-06-13 13:20:27,0
harika,5,2025-06-13 13:03:25,1
turkcell superbox aldım ancak kayıtlı olduktan sanra bir giriş yapabildim sonra giriş yapamıyorum acele çözüm bulunmasını talep ediyorum,1,2025-06-13 11:26:35,0
hayır ilk ay ücretsiz fiber internet istemiyorum saniyede bir pop up atma uygulamayı kullanmak istiyorum,1,2025-06-13 11:07:20,0
tumbara iyi,5,2025-06-13 10:18:49,1
olun aman diyim bunlara bulasmayin kene giibi yapisirlar adama kulaklik alfim ay taksiti odemedim varlik sirketine vermisler cok sukur kurtuldum bunlardan,1,2025-06-13 02:13:00,0
bune yaa internet çekmiyo böyle bişey olabilir mi noluyo birisine mesaj yazıyorum zar zor gidiyo allah aşkına yaa lütfen bişey yapın çeksin artık internet,1,2025-06-13 01:50:38,0
şehir merkezinde bile çekmiyor internet kapanıyor haddinden fazla harcıyor kadar çöp bir telekom hizmeti görmedim ben verdiğimiz paralar soygunculara gidiyormuş,1,2025-06-13 01:15:53,0
,5,2025-06-12 22:43:22,1
bor sorunla karşılaşıldı tekrar deneyin uyarısı alıyorum hiçbir öğeyi kullanamıyorum silip yeniden yükledim cihazı yeniden başlattım farkeden hiçbir yok,1,2025-06-12 22:35:55,0
ben uzun zamandır turkcelli kullanıyorum hiçbir zaman memnun kalmadım dakika bir turkcellde yenilikler getiriyorlar memnun kalmadım ayrıca internet değil insanları soyuyorlar resmen ayrıca zırt pırt arayıp duruyorlar ay varken arıyorlar sözde faturayı ödememizi istiyorlar insanları kandırıyorlar,1,2025-06-12 22:29:25,0
güzel,5,2025-06-12 22:26:01,1
kalan internet vs bilgilerimizi görebilmemiz widget olmalıartı olarak hediye internet paketlerimizin bitiş saati uygulamada gösterilmeli,4,2025-06-12 21:27:26,1
mükemmel bir uygulama kesinlikle kullanın tavsiyede ederim,5,2025-06-12 21:00:01,1
güzel,5,2025-06-12 20:59:09,1
halika istedim paket deyistiyorum,5,2025-06-12 20:58:19,1
ıyı,5,2025-06-12 20:58:15,1
turkcell sayesinde artık köyde bile yeni sezonda pubg fatih olabiliyorum,5,2025-06-12 20:57:39,1
güzel,5,2025-06-12 20:56:54,1
iyi çekiyor fakat para fazla yüksek,5,2025-06-12 20:52:28,1
,5,2025-06-12 20:51:56,1
mükemmel,5,2025-06-12 20:50:37,1
mükemmel mükemmel mükemmel bir uygulama tebrikler tebrikler teşekkürler,5,2025-06-12 20:42:22,1
güzel,5,2025-06-12 20:41:54,1
on numara,5,2025-06-12 20:38:50,1
süper,5,2025-06-12 20:36:47,1
,5,2025-06-12 20:36:38,1
mutluyom biraz fazla para geliyor,5,2025-06-12 20:34:58,1
tunpara güzel hizmetleri güzel,5,2025-06-12 20:34:13,1
güzel uygulama,5,2025-06-12 20:30:20,1
süper,5,2025-06-12 20:30:04,1
anlatacak çokçok memnunum mükemmel,5,2025-06-12 20:27:39,1
salla kazan sayesinde aileme uzaktan uzaga iletisim kurabiliyirum,5,2025-06-12 20:23:25,1
güzel,5,2025-06-12 20:18:42,1
süperbox aldım normalde adsl evde internete bağlı iken maksimum gb oderdim süperbox sayesinde günde gb bitirdim başarı pardon saçma sapan başarı sizin büyük eseriniz tebrikler ilk fırsatta turkcellden ayrilicam hakem heyetine gidip şikayetçi olucam,1,2025-06-12 20:18:40,0
güzel bit uygulama,5,2025-06-12 20:18:22,1
,5,2025-06-12 20:18:20,1
net açık,5,2025-06-12 20:17:20,1
memnun kaldım,5,2025-06-12 20:16:00,1
internetim heryerde köyde bile çekiyor turkcell den mutluyum iyiki varsın turkcell,5,2025-06-12 20:14:21,1
ben memnunum tavsiye ederim,5,2025-06-12 20:12:05,1
iyi,5,2025-06-12 20:08:52,1
cok iyi,5,2025-06-12 20:08:50,1
,5,2025-06-12 20:08:23,1
,5,2025-06-12 20:07:55,1
güzel,5,2025-06-12 20:05:28,1
iyi iyi,5,2025-06-12 20:04:48,1
beğendiğim bir uygulama,5,2025-06-12 20:03:55,1
super,5,2025-06-12 20:03:33,1
turkcell iyi iyisi yok,5,2025-06-12 20:02:35,1
hattim var turkcell teşekkürlerimle,5,2025-06-12 18:57:21,1
harika bir uygulama,5,2025-06-12 18:52:12,1
aptalca hediyele veriyor saçmalık milletim gb dakikalara ihtiyaci var yutup fizik saçmalık uygulama yönlendiriyor opertordan çıkacam,1,2025-06-12 17:24:46,0
harika,5,2025-06-12 16:33:22,1
iyi bir uygulama olarak düşünüyorum,5,2025-06-12 16:25:13,1
iyi,5,2025-06-12 15:12:45,1
salla kazandan günlük gb verin ay,1,2025-06-12 14:47:33,0
olursan ol yerde çekiyor,5,2025-06-12 13:53:06,1
karışık,1,2025-06-12 12:43:11,0
aylık fatura kapandı açmak istiyorum dedi fatura ödeme merkezi baglanmak istiyorum,4,2025-06-12 12:06:50,1
saygılı,5,2025-06-12 10:54:50,1
teşekkür ederim,5,2025-06-12 10:49:34,1
türkiyenin açık ara iyi operatörü ancak pahalı biraz fiyatları düşürerek ulaşılabilir olmalı,5,2025-06-12 10:09:00,1
uygulama çökmüş durumda ilgilenirseniz sevinirim,1,2025-06-12 02:04:48,0
hesabıma giremiyorum güncelleme yaptım fakat işleminizi gerçekleştiremiyoruz diyor sorunu çözmenizi rica ediyorum yıldızlarda ilgilenmenizi,5,2025-06-12 01:51:11,1
kötü,1,2025-06-12 00:05:02,0
salla kazan internet vermiyor,1,2025-06-11 23:29:38,0
evin internetine bi ton para vermemize rağmen bi odadan bi odaya geçerken çekmiyo iş utanmaları yok bunların deprem olur hatlar kesilir düşer yatacak yeriniz yok yatacak haram olsun kuruşuma,1,2025-06-11 23:10:07,0
türkcell iyi uygulama interneti kapatıyorum benim internetimden ekstra gidiyor lütfen sorunu çözün,2,2025-06-11 22:50:41,0
biriken gb olayını diğer ayda gb olarak kullanırsak bravo derim,2,2025-06-11 22:19:29,0
turkselin uzun süre aboneliği çoook memnunum turksel uygulamalarindan,5,2025-06-11 22:06:59,1
internet gücü zayıf internet bağlantısı yok,5,2025-06-11 21:51:42,1
süper uygulama,5,2025-06-11 21:17:21,1
süper bir uygulama,5,2025-06-11 21:01:17,1
beş yıldızlı,5,2025-06-11 20:59:32,1
iyi,5,2025-06-11 20:59:28,1
super,5,2025-06-11 20:51:33,1
mükemmel çekim gücüne sahip,5,2025-06-11 20:50:58,1
severek kullandığım bir uygulama,5,2025-06-11 20:48:31,1
memnunum,5,2025-06-11 20:47:15,1
iyi,5,2025-06-11 20:43:53,1
güzel bir uygulama bayiye gitmeden türlü işlemi yapabiliyorum,5,2025-06-11 20:43:48,1
güzel herkese tavsiye ederim iyiki varsın turcell,5,2025-06-11 20:42:50,1
super,5,2025-06-11 20:41:55,1
beğemmedim,2,2025-06-11 20:35:40,0
muhteşem,5,2025-06-11 20:30:19,1
super,5,2025-06-11 20:27:36,1
mükemmel,5,2025-06-11 20:20:42,1
memnunum,5,2025-06-11 20:10:37,1
iyi bir uygulama olarak kullanıyorum tavsiye ederim arkadaşlar,5,2025-06-11 20:06:27,1
beğendim güzel,5,2025-06-11 20:03:42,1
güzel,5,2025-06-11 20:03:13,1
bütün sorularımın cevabını bulabiliyorum,5,2025-06-11 20:01:57,1
güzel,5,2025-06-11 20:01:48,1
memnunum,5,2025-06-11 20:01:37,1
beğendim,5,2025-06-11 19:40:45,1
harika olmuş,5,2025-06-11 19:03:32,1
beyendim,5,2025-06-11 18:05:18,1
iyi,5,2025-06-11 17:53:15,1
güzel,5,2025-06-11 17:40:12,1
mukemel,5,2025-06-11 17:26:35,1
tşkler turkcell,5,2025-06-11 16:57:32,1
turkcell bir reklamdan ibarettir,5,2025-06-11 16:35:31,1
güzel benım takıp ettıgım bır uygulama bence yararlı oluyor,4,2025-06-11 14:23:33,1
pasaj uygulaması bozuk sepete eklenen ürün gözükmüyor hataysayfası var,5,2025-06-11 13:04:33,1
interneti deli sömürüp ancak kalite adina hicbise veremeyen bir kurum ilce merkezi köyleri vs geçtim sehir merkezinde bile cekmiyor neredeyse yıl olmus lerden kötü bir hizmeti var ha bi pahalılığı var bana müthiş hizmet sunuyorlar,1,2025-06-11 12:21:16,0
tek kelime mukemmel,5,2025-06-11 11:17:31,1
cok iyi uygulama loo,5,2025-06-11 10:19:05,1
